,subject_race,subject_sex,year,hour,day_of_week,month,vehicle_tier,violation_severity,disposition_severity,city_location,age_category
929717,unknown,Unknown,2018,18,0,1,ECONOMY,1.0,1.0,central,16-24
929718,unknown,Unknown,2018,20,0,1,MID,1.0,1.0,central,25-34
929719,unknown,Unknown,2018,21,0,1,ECONOMY,3.0,1.0,central,25-34
929720,unknown,Unknown,2018,2,0,1,LUXURY,3.0,0.0,unknown,16-24
929721,unknown,Unknown,2018,3,0,1,LUXURY,3.0,1.0,unknown,16-24
929722,unknown,Unknown,2018,3,0,1,MID,1.0,1.0,west,Unknown
929723,unknown,Unknown,2018,3,0,1,ECONOMY,1.0,1.0,west,Unknown
929724,unknown,Unknown,2018,3,0,1,UNKNOWN,2.0,1.0,east,16-24
929725,unknown,Unknown,2018,3,0,1,ECONOMY,2.0,1.0,east,35-54
929726,unknown,Unknown,2018,3,0,1,ECONOMY,3.0,1.0,east,55-64
929727,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,east,25-34
929728,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,0.0,unknown,16-24
929729,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,east,35-54
929730,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,unknown,25-34
929731,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,0.0,east,16-24
929732,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,east,16-24
929733,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,east,25-34
929734,unknown,Unknown,2018,4,0,1,ECONOMY,2.0,1.0,east,35-54
929736,unknown,Unknown,2018,4,0,1,ECONOMY,1.0,1.0,south,Unknown
929737,unknown,Unknown,2018,4,0,1,ECONOMY,1.0,1.0,south,Unknown
929738,unknown,Unknown,2018,4,0,1,UNKNOWN,2.0,1.0,east,35-54
929740,unknown,Unknown,2018,5,0,1,ECONOMY,2.0,0.0,east,16-24
929741,unknown,Unknown,2018,5,0,1,ECONOMY,2.0,1.0,east,55-64
929743,unknown,Unknown,2018,5,0,1,ECONOMY,1.0,1.0,unknown,Unknown
929744,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,south,16-24
929745,unknown,Unknown,2018,6,0,1,LUXURY,2.0,0.0,south,35-54
929746,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,unknown,35-54
929747,unknown,Unknown,2018,6,0,1,MID,2.0,1.0,unknown,16-24
929748,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,west,35-54
929749,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,unknown,35-54
929750,unknown,Unknown,2018,6,0,1,ECONOMY,1.0,0.0,south,35-54
929751,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,west,35-54
929752,unknown,Unknown,2018,6,0,1,LUXURY,2.0,0.0,east,35-54
929753,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,unknown,16-24
929754,unknown,Unknown,2018,6,0,1,ECONOMY,2.0,1.0,east,35-54
929755,unknown,Unknown,2018,7,0,1,LEGACY,2.0,1.0,unknown,25-34
929756,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,1.0,unknown,16-24
929758,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,1.0,east,65+
929759,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,1.0,east,16-24
929760,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,0.0,unknown,35-54
929761,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,1.0,east,35-54
929762,unknown,Unknown,2018,7,0,1,MID,2.0,1.0,east,25-34
929763,unknown,Unknown,2018,7,0,1,ECONOMY,2.0,1.0,east,16-24
929764,unknown,Unknown,2018,8,0,1,ECONOMY,2.0,0.0,east,25-34
929765,unknown,Unknown,2018,8,0,1,ECONOMY,2.0,1.0,east,16-24
929766,unknown,Unknown,2018,8,0,1,ECONOMY,2.0,1.0,east,35-54
929767,unknown,Unknown,2018,8,0,1,ECONOMY,2.0,1.0,west,25-34
929768,unknown,Unknown,2018,9,0,1,ECONOMY,2.0,1.0,west,35-54
929769,unknown,Unknown,2018,9,0,1,ECONOMY,2.0,1.0,unknown,16-24
929770,unknown,Unknown,2018,9,0,1,ECONOMY,2.0,1.0,west,25-34
929771,unknown,Unknown,2018,9,0,1,MID,2.0,1.0,unknown,25-34
